Country,Capital,Language
Afghanistan,Kabul,Pashto/Dari(Arabic script)
Albania,Tirana,Albanian
Algeria,Algiers,Berber language(Tifinagh script)Arabic(Arabic script)
American Samoa,Pago Pago,SamoanEnglish
Andorra,Andorra la Vella,Catalan
Angola,Luanda,Portuguese Kongo
Anguilla,The Valley,English
Antigua and Barbuda,Saint John's,English
Argentina,Buenos Aires,Spanish
Armenia,Yerevan,Armenian(Armenian alphabet)
Aruba,Oranjestad,"Dutch, Papiamento"
Australia,Canberra,English/ Aboriginal native languages
Austria,Vienna,German
Åland Islands,Mariehamn,SwedishFinnish
Azerbaijan,Baku,Azerbaijani
The Bahamas,Nassau,English
Bahrain,Manama,Arabic(Arabic script)
Bangladesh,Dhaka,Bengali(Bengali script)
Barbados,Bridgetown,English
Belarus,Minsk,Belarusian(Cyrillic script)Russian(Cyrillic script)
Belgium,Brussels,DutchFrenchGerman
Belize,Belmopan,English
Benin,Porto-Novo,French
Bermuda,Hamilton,English
Bhutan,Thimphu,Dzongkha(Tibetan alphabet)
Bolivia,La Paz,SpanishQuechuaAymaraGuaraní
Bosnia and Herzegovina,Sarajevo,"Bosnian, Croatian(Latin script), Serbian(Cyrillic script)"
Botswana,Gaborone,"English, Tswana"
Brazil,Brasília,Portuguese
British Virgin Islands,Road Town,English
Brunei,Bandar Seri Begawan,Malay(Jawi script)
Bulgaria,Sofia,Bulgarian(Cyrillic script)
Burkina Faso,Ouagadougou,French
Burundi,Gitega,Kirundi  French
Cambodia,Phnom Penh,Khmer(Khmer script)
Cameroon,Yaoundé,FrenchEnglish
Canada,Ottawa,"English, French"
Cape Verde,Praia,Portuguese
Cayman Islands,George Town,English
Central African Republic,Bangui,FrenchSango
Chad,N'Djamena,FrenchArabic(Arabic script)
Chile,Santiago,Spanish
China (People's Republic of),Beijing,Mandarin Chinese(Chinese characters)
Christmas Island,Flying Fish Cove,English
Cocos Islands,West Island,English
Colombia,Bogotá,Spanish
Comoros,Moroni,ShikomorArabic(Arabic script)French
Republic of the Congo,Brazzaville,FrenchKongo Lingala
Democratic Republic of the Congo,Kinshasa,French Kongo Lingala Swahili
Cook Islands,Avarua,English  Cook Islands Māori
Costa Rica,San José,Spanish
Côte d'Ivoire(formerly Ivory Coast),Yamoussoukro,French
Croatia,Zagreb,Croatian
Cuba,Havana,Spanish
Curaçao,Willemstad,DutchPapiamentoEnglish
Cyprus,Nicosia,Greek(Greek alphabet)Turkish
Czech Republic,Prague,Czech
Denmark,Copenhagen,Danish
Djibouti,Djibouti,Arabic(Arabic script)FrenchSomaliAfar
Dominica,Roseau,English
Dominican Republic,Santo Domingo,Spanish
East Timor,Díli,TetumPortuguese
Ecuador,Quito,Spanish
Egypt,Cairo,Arabic(Arabic script)
El Salvador,San Salvador,Spanish
Equatorial Guinea,Malabo,Spanish  French  Portuguese
Eritrea,Asmara,Arabic(Arabic script)Tigrinya(Ge'ez script)
Estonia,Tallinn,Estonian
Eswatini(formerly Swaziland),Mbabane,EnglishSwazi
Ethiopia,Addis Ababa,Amharic(Ge'ez script)
Falkland Islands,Stanley,English
Faroe Islands,Tórshavn,FaroeseDanish
Fiji,Suva,EnglishFijianFiji Hindi
Finland,Helsinki,FinnishSwedish
France,Paris,French
French Guiana,Cayenne,French
French Polynesia,Papeete,French
Gabon,Libreville,French
The Gambia,Banjul,English
Georgia,Tbilisi,Georgian(Georgian alphabet)
Germany,Berlin,German
Ghana,Accra,EnglishAkanTwiEwe
Gibraltar,Gibraltar,English
Greece,Athens,Greek(Greek alphabet)
Greenland,Nuuk,GreenlandicDanish
